MP_Concentration,MP_Size,Exposure_Time,Cetobacterium_Present,Rhizobiales_Present
100.0,650.0,21,0,0
100.0,650.0,21,0,1
100.0,650.0,21,0,0
100.0,650.0,21,0,1
100.0,650.0,21,0,1
100.0,650.0,21,0,1
100.0,650.0,21,0,0
100.0,650.0,21,0,1
100.0,650.0,21,0,0
100.0,650.0,21,0,1
100.0,650.0,21,0,1
100.0,650.0,21,0,1
100.0,650.0,21,0,1
100.0,650.0,21,0,1
100.0,650.0,21,0,0
100.0,650.0,21,0,1
100.0,650.0,21,0,0
100.0,650.0,21,0,1
100.0,650.0,21,0,1
100.0,650.0,21,0,0
100.0,650.0,21,0,0
100.0,650.0,21,0,1
100.0,650.0,21,0,0
100.0,650.0,21,0,1
100.0,650.0,21,0,0
100.0,650.0,21,0,1
100.0,650.0,21,0,0
100.0,650.0,21,0,1
100.0,650.0,21,0,0
100.0,650.0,21,0,1
100.0,650.0,21,0,0
100.0,650.0,21,0,1
128.0749484536082,650.0,28,1,0
2.5,650.0,28,1,0
2.5,650.0,28,1,0
2.5,650.0,28,1,0
2.5,650.0,28,1,0
